steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
332800,325,1,42.7539,5221.3,0.0,0.24798,0.991275,0.014672
333824,326,1,42.7539,5221.3,0.0,0.325201,0.991096,0.051273
334848,327,1,42.7282,5221.4,-0.0,0.182345,0.991117,0.021379
335872,328,1,42.7282,5221.4,-0.0,0.325925,0.989832,0.052421
336896,329,1,42.7282,5221.4,0.0,0.221952,0.990412,0.036548
337920,330,1,42.7282,5221.4,0.0,0.218125,0.991173,0.020044
338944,331,1,42.7282,5221.4,0.0,0.321164,0.991254,0.01359
339968,332,1,42.7095,5218.3,-0.0,0.283279,0.990194,0.044751
340992,333,1,42.7095,5218.3,-0.0,0.37559,0.990276,0.098133
342016,334,1,42.7095,5218.3,0.0,0.202498,0.990021,0.031066
343040,335,1,42.7095,5218.3,0.0,0.192884,0.990195,0.041787
344064,336,1,42.7095,5218.3,0.0,0.254397,0.990502,0.047918
345088,337,1,42.7513,5222.6,-0.0,0.206352,0.990744,0.015487
346112,338,1,42.7513,5222.6,-0.0,0.213157,0.99046,0.028459
347136,339,1,42.7513,5222.6,-0.0,0.195721,0.990299,0.035854
348160,340,1,42.7513,5222.6,-0.0,0.201145,0.990691,0.077658
349184,341,1,42.7513,5222.6,-0.0,0.250412,0.990841,0.018419
350208,342,1,42.7513,5222.6,-0.0,0.295954,0.991686,0.017186
351232,343,1,42.7274,5234.0,0.0,0.301676,0.991218,0.08767
352256,344,1,42.7274,5234.0,-0.0,0.259095,0.99031,0.014904
353280,345,1,42.7274,5234.0,0.0,0.316226,0.989899,0.048007
354304,346,1,42.7274,5234.0,-0.0,0.274589,0.990006,0.045071
355328,347,1,42.6814,5221.5,-0.0,0.341174,0.990794,0.080194
356352,348,1,42.6814,5221.5,0.0,0.2215,0.990771,0.009617
357376,349,1,42.6814,5221.5,-0.0,0.221411,0.990435,0.042344
358400,350,1,42.6814,5221.5,0.0,0.232445,0.991228,0.050612
359424,351,1,42.6814,5221.5,0.0,0.224636,0.99145,0.012301
360448,352,1,42.6901,5219.3,-0.0,0.406671,0.990957,0.155279
361472,353,1,42.6901,5219.3,0.0,0.296863,0.991079,0.06854
362496,354,1,42.6901,5219.3,0.0,0.207827,0.990669,0.08324
363520,355,1,42.6901,5219.3,0.0,0.218603,0.99041,0.048182
364544,356,1,42.6901,5219.3,0.0,0.276773,0.990423,0.089938
365568,357,1,42.6599,5215.0,0.0,0.293754,0.990512,0.063451
366592,358,1,42.6599,5215.0,-0.0,0.333823,0.990736,0.037949
367616,359,1,42.6599,5215.0,-0.0,0.156306,0.990847,0.09451
368640,360,1,42.6599,5215.0,0.0,0.251929,0.990948,0.040596
369664,361,1,42.6599,5215.0,-0.0,0.229774,0.991434,0.032201
370688,362,1,42.6533,5214.9,-0.0,0.301255,0.990812,0.075827
371712,363,1,42.6533,5214.9,0.0,0.240665,0.99014,0.019872
372736,364,1,42.6533,5214.9,0.0,0.196126,0.990139,0.081707
373760,365,1,42.6533,5214.9,-0.0,0.24839,0.991022,0.024
374784,366,1,42.6533,5214.9,-0.0,0.218382,0.99079,0.03895
375808,367,1,42.6362,5211.8,0.0,0.348427,0.98959,0.107197
376832,368,1,42.6362,5211.8,-0.0,0.257003,0.990692,0.013566
377856,369,1,42.6362,5211.8,0.0,0.173553,0.991344,0.11206
378880,370,1,42.6362,5211.8,-0.0,0.189104,0.991005,0.055756
379904,371,1,42.6362,5211.8,0.0,0.272244,0.991122,0.034478
380928,372,1,42.6362,5211.8,0.0,0.225718,0.990472,0.021243
381952,373,1,42.6727,5227.2,-0.0,0.237715,0.991662,0.010204
382976,374,1,42.6727,5227.2,-0.0,0.24304,0.991148,0.012818
384000,375,1,42.6727,5227.2,0.0,0.291469,0.991365,0.049505
385024,376,1,42.6727,5227.2,0.0,0.305077,0.991148,0.012425
386048,377,1,42.668,5213.6,0.0,0.336225,0.990922,0.080477
387072,378,1,42.668,5213.6,0.0,0.221045,0.991197,0.011874
388096,379,1,42.668,5213.6,0.0,0.285315,0.990923,0.068275
389120,380,1,42.668,5213.6,-0.0,0.239944,0.991087,0.034455
