steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
17600,275,11.0,0.5238,10000.0,-0.0,0.001436,1.098612,0.082415
17664,276,11.0,0.5238,10000.0,-0.0,0.001814,1.098612,0.066946
17728,277,11.0,0.5238,10000.0,-0.0,0.002162,1.098612,0.108514
17792,278,11.0,0.5238,10000.0,0.0,0.001695,1.098612,0.100404
17856,279,11.0,0.5238,10000.0,0.0,0.002315,1.098612,0.110852
17920,280,11.0,0.5238,10000.0,0.0,0.000528,1.098612,0.046362
17984,281,11.0,0.5238,10000.0,0.0,0.00296,1.098612,0.114299
18048,282,11.0,0.5238,10000.0,0.0,0.000583,1.098612,0.050759
18112,283,11.0,0.5238,10000.0,-0.0,0.000416,1.098612,0.032094
18176,284,11.0,0.5238,10000.0,0.0,0.4644,1.098612,1.56468
18240,285,11.0,0.5238,10000.0,-0.0,0.000654,1.098612,0.050083
18304,286,11.0,0.5238,10000.0,-0.0,0.28216,1.098612,0.892693
18368,287,11.0,0.5238,10000.0,-0.0,0.001734,1.098612,0.0981
18432,288,11.0,0.5238,10000.0,-0.0,0.000578,1.098612,0.056082
18496,289,11.0,0.5238,10000.0,0.0,0.000479,1.098612,0.040396
18560,290,11.0,0.5238,10000.0,0.0,0.000946,1.098612,0.071564
18624,291,11.0,0.5238,10000.0,0.0,0.002069,1.098612,0.104828
18688,292,11.0,0.5238,10000.0,-0.0,0.000867,1.098612,0.057321
18752,293,11.0,0.5238,10000.0,-0.0,0.00063,1.098612,0.030646
18816,294,11.0,0.5238,10000.0,-0.0,0.000522,1.098612,0.009875
18880,295,11.0,0.5238,10000.0,0.0,0.001637,1.098612,0.092379
18944,296,11.0,0.5238,10000.0,-0.0,0.002037,1.098612,0.107827
19008,297,11.0,0.5238,10000.0,0.0,0.391652,1.098612,1.330017
19072,298,11.0,0.5238,10000.0,0.0,0.001025,1.098612,0.047692
19136,299,11.0,0.5238,10000.0,0.0,0.003802,1.098612,0.130228
19200,300,11.0,0.5238,10000.0,-0.0,0.00041,1.098612,0.038963
19264,301,11.0,0.5238,10000.0,-0.0,0.003023,1.098612,0.112307
19328,302,11.0,0.5238,10000.0,-0.0,0.000772,1.098612,0.033482
19392,303,11.0,0.5238,10000.0,0.0,0.005237,1.098612,0.160629
19456,304,11.0,0.5238,10000.0,0.0,0.00127,1.098612,0.084245
19520,305,11.0,0.5238,10000.0,0.0,0.000661,1.098612,0.042947
19584,306,11.0,0.5238,10000.0,-0.0,0.000115,1.098612,0.009219
19648,307,11.0,0.5238,10000.0,0.0,0.000194,1.098612,0.008062
19712,308,11.0,0.5238,10000.0,0.0,0.000668,1.098612,0.019549
19776,309,11.0,0.5238,10000.0,0.0,0.00194,1.098612,0.033064
19840,310,11.0,0.5238,10000.0,-0.0,0.002273,1.098612,0.108437
19904,311,11.0,0.5238,10000.0,-0.0,0.001106,1.098612,0.056984
19968,312,11.0,0.5238,10000.0,-0.0,0.000156,1.098612,0.017043
20032,313,13.0,0.5397,10000.0,0.0,0.000194,1.098612,0.013914
20096,314,13.0,0.5397,10000.0,-0.0,0.00014,1.098612,0.014857
20160,315,13.0,0.5397,10000.0,0.0,0.000231,1.098612,0.012064
20224,316,13.0,0.5397,10000.0,0.0,0.000758,1.098612,0.063208
20288,317,13.0,0.5397,10000.0,-0.0,0.000169,1.098612,0.008603
20352,318,13.0,0.5397,10000.0,0.0,0.00086,1.098612,0.073963
20416,319,13.0,0.5397,10000.0,-0.0,0.002214,1.098612,0.103466
20480,320,13.0,0.5397,10000.0,-0.0,0.099347,1.098612,0.292538
20544,321,13.0,0.5397,10000.0,0.0,0.306968,1.098612,0.897651
20608,322,13.0,0.5397,10000.0,0.0,0.104291,1.098612,0.364574
20672,323,13.0,0.5397,10000.0,0.0,0.003445,1.098612,0.12514
20736,324,13.0,0.5397,10000.0,-0.0,0.000135,1.098612,0.01833
20800,325,13.0,0.5397,10000.0,-0.0,0.00046,1.098612,0.046987
20864,326,13.0,0.5397,10000.0,0.0,0.000101,1.098612,0.01491
20928,327,13.0,0.5397,10000.0,-0.0,0.004786,1.098612,0.156287
20992,328,13.0,0.5397,10000.0,-0.0,0.000351,1.098612,0.020115
21056,329,13.0,0.5397,10000.0,-0.0,0.409423,1.098612,1.298419
21120,330,13.0,0.5397,10000.0,-0.0,0.001283,1.098612,0.080885
21184,331,13.0,0.5397,10000.0,-0.0,0.475887,1.098612,1.73106
21248,332,13.0,0.5397,10000.0,0.0,0.001796,1.098612,0.092873
21312,333,13.0,0.5397,10000.0,-0.0,0.00183,1.098612,0.104001
21376,334,13.0,0.5397,10000.0,-0.0,0.002143,1.098612,0.10289
21440,335,13.0,0.5397,10000.0,0.0,0.004148,1.098612,0.155179
21504,336,13.0,0.5397,10000.0,-0.0,0.00165,1.098612,0.035692
21568,337,13.0,0.5397,10000.0,0.0,0.012554,1.098612,0.2354
21632,338,13.0,0.5397,10000.0,-0.0,0.003315,1.098612,0.140719
21696,339,13.0,0.5397,10000.0,0.0,0.003881,1.098612,0.150132
21760,340,13.0,0.5397,10000.0,-0.0,0.001754,1.098612,0.087435
21824,341,13.0,0.5397,10000.0,-0.0,0.003805,1.098612,0.120941
21888,342,13.0,0.5397,10000.0,0.0,0.000504,1.098612,0.00284
21952,343,13.0,0.5397,10000.0,0.0,0.006808,1.098612,0.135744
22016,344,13.0,0.5397,10000.0,-0.0,0.002927,1.098612,0.100292
22080,345,13.0,0.5397,10000.0,0.0,0.035865,1.098612,0.046265
22144,346,13.0,0.5397,10000.0,0.0,0.000798,1.098612,0.035302
22208,347,13.0,0.5397,10000.0,-0.0,0.001408,1.098612,0.081704
22272,348,13.0,0.5397,10000.0,0.0,0.000835,1.098612,0.053086
22336,349,13.0,0.5397,10000.0,-0.0,0.002468,1.098612,0.099278
22400,350,13.0,0.5397,10000.0,0.0,0.001755,1.098612,0.093451
22464,351,13.0,0.5397,10000.0,0.0,0.001462,1.098612,0.077008
22528,352,13.0,0.5397,10000.0,-0.0,0.001574,1.098612,0.062455
22592,353,13.0,0.5397,10000.0,0.0,0.000687,1.098612,0.039758
22656,354,13.0,0.5397,10000.0,0.0,0.000893,1.098612,0.059428
22720,355,13.0,0.5397,10000.0,0.0,0.227244,1.098612,0.657842
22784,356,13.0,0.5397,10000.0,0.0,0.000199,1.098612,0.013254
22848,357,13.0,0.5397,10000.0,-0.0,0.000167,1.098612,0.020277
22912,358,13.0,0.5397,10000.0,-0.0,0.000889,1.098612,0.047896
22976,359,13.0,0.5397,10000.0,0.0,0.001633,1.098612,0.047806
23040,360,13.0,0.5397,10000.0,0.0,0.000709,1.098612,0.040692
23104,361,13.0,0.5397,10000.0,0.0,0.001914,1.098612,0.092743
23168,362,13.0,0.5397,10000.0,0.0,0.001742,1.098612,0.096889
23232,363,13.0,0.5397,10000.0,0.0,0.003442,1.098612,0.111072
